player_id,player_name,nationality,position,team,age,market_value_eur,club_name,matches,minutes,goals,assists,xg,xa,shots,key_passes,tackles,interceptions,recoveries,dribbles_succ,pass_acc,saves,clean_sheets,rating,stamina,top_speed,distance,creativity,consistency,clutch,pressure,offensive,defensive,poty_awards,per90,goals_p90,assists_p90,xg_p90,xa_p90,finishing_delta,ga_p90,ga_expected_p90,ga_actual_p90
P00001,Kylian Griezmann,French,Goalkeeper,France,24,16574124,PSV Eindhoven,34,953,0,0,0.0,0.0,0,4,0,5,15,0,0.7311764705882353,30,2,2.3294117647058825,80.5529411764706,30.3,89.1,30.291176470588237,69.69117647058823,57.294117647058826,66.39117647058823,9.376470588235295,80.4735294117647,0,0.0944386149003148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00002,Antoine Tchouameni,French,Goalkeeper,France,29,53959475,Anderlecht,34,830,0,0,0.0,0.0,0,6,0,3,13,0,0.7288235294117648,37,1,1.961764705882353,80.19411764705882,32.8,79.9,30.747058823529414,87.24117647058823,59.800000000000004,83.98823529411764,11.152941176470588,97.43529411764706,0,0.10843373493975904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00003,Ousmane Hernandez,French,Goalkeeper,France,24,4935397,Besiktas,34,922,0,0,0.0,0.0,0,1,0,4,23,1,0.7085294117647059,41,2,2.038235294117647,79.9205882352941,32.1,86.7,33.80294117647059,70.75294117647059,54.72941176470588,68.50882352941177,11.205882352941176,79.58823529411765,0,0.09761388286334056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00004,Kylian Camavinga,French,Defender,France,27,3795900,Bayer Leverkusen,34,1299,0,0,0.060000000000000005,0.01,8,9,41,31,53,0,0.8117647058823529,0,0,3.4735294117647055,81.89411764705882,37.0,141.1,33.61764705882353,49.800000000000004,50.752941176470586,47.93529411764706,23.958823529411767,54.95294117647059,0,0.06928406466512702,0.0,0.0,0.004157043879907622,0.0006928406466512702,-0.060000000000000005,0.0,0.004849884526558892,0.0
P00005,Antoine Kounde,French,Defender,France,24,21832889,Borussia Dortmund,34,1298,0,2,0.18,0.2,7,12,43,41,87,0,0.821764705882353,0,0,4.270588235294118,85.01470588235294,35.8,138.70000000000002,30.941176470588236,87.21176470588235,63.76470588235294,82.5529411764706,48.21176470588235,94.0,0,0.06933744221879815,0.0,0.1386748844375963,0.012480739599383665,0.01386748844375963,-0.18,0.1386748844375963,0.026348228043143296,0.1386748844375963
P00006,Ousmane Upamecano,French,Defender,France,25,3260134,Bayern Munich,34,1372,0,0,0.52,0.1,7,8,52,43,58,2,0.821764705882353,0,0,3.644117647058824,82.78235294117647,35.6,147.3,30.064705882352943,48.30882352941177,53.05882352941177,44.10588235294117,24.49705882352941,50.997058823529414,0,0.06559766763848396,0.0,0.0,0.03411078717201166,0.006559766763848396,-0.52,0.0,0.040670553935860054,0.0
P00007,Aurelien Rabiot,French,Defender,France,25,21875188,Midtjylland,34,1173,1,1,0.01,0.18,5,12,51,42,62,2,0.8138235294117646,0,0,3.461764705882353,80.27352941176471,34.8,115.7,24.620588235294118,69.51176470588236,58.98529411764706,70.60588235294118,33.87352941176471,74.16764705882352,1,0.07672634271099744,0.07672634271099744,0.07672634271099744,0.0007672634271099745,0.01381074168797954,0.99,0.1534526854219949,0.014578005115089514,0.1534526854219949
P00008,Eduardo Sissoko,French,Defender,France,22,3056356,Galatasaray,34,1449,0,1,0.22000000000000003,0.04,13,11,35,32,60,1,0.8323529411764706,0,0,3.979411764705883,81.4735294117647,35.9,155.79999999999998,28.576470588235296,50.0735294117647,54.9,46.688235294117646,23.923529411764704,53.66470588235294,0,0.062111801242236024,0.0,0.062111801242236024,0.013664596273291927,0.002484472049689441,-0.22000000000000003,0.062111801242236024,0.016149068322981366,0.062111801242236024
P00009,Theo Varane,French,Defender,France,29,43758955,RB Salzburg,34,1722,0,1,0.01,0.17,8,9,61,55,124,0,0.818529411764706,0,0,4.985294117647059,86.84117647058824,35.5,174.1,32.09411764705882,87.25882352941177,61.464705882352945,82.28529411764706,43.561764705882354,93.28823529411765,0,0.05226480836236934,0.0,0.05226480836236934,0.0005226480836236934,0.008885017421602788,-0.01,0.05226480836236934,0.009407665505226481,0.05226480836236934
P00010,Lucas Pavard,French,Defender,France,23,2280387,AIK,34,1482,3,2,0.0,0.13,6,3,50,32,59,1,0.8188235294117647,0,0,3.8735294117647054,82.14411764705882,36.3,153.5,26.76764705882353,49.491176470588236,51.773529411764706,45.22941176470588,21.794117647058822,51.00588235294118,1,0.06072874493927125,0.18218623481781376,0.1214574898785425,0.0,0.007894736842105263,3.0,0.30364372469635625,0.007894736842105263,0.30364372469635625
P00011,Randal Diarra,French,Defender,France,26,2897170,Benfica,34,1358,0,0,0.05,0.12,11,3,42,44,53,1,0.8147058823529412,0,0,3.5264705882352945,80.03529411764706,35.7,154.7,30.96470588235294,50.044117647058826,50.69117647058823,45.82647058823529,24.22941176470588,52.63823529411765,0,0.0662739322533137,0.0,0.0,0.003313696612665685,0.007952871870397643,-0.05,0.0,0.011266568483063328,0.0
P00012,Olivier Badiashile,French,Defender,France,24,10428093,Young Boys,34,1553,1,0,0.01,0.07,14,8,57,34,73,1,0.8232352941176471,0,0,4.144117647058824,82.51176470588236,35.5,162.2,27.876470588235296,70.13529411764705,56.54705882352941,64.0764705882353,34.62941176470588,73.93823529411765,0,0.05795235028976175,0.05795235028976175,0.0,0.0005795235028976175,0.004056664520283323,0.99,0.05795235028976175,0.004636188023180941,0.05795235028976175
P00013,Kylian Maignan,French,Midfielder,France,27,5499220,Borussia Dortmund,34,1100,2,4,0.21000000000000002,0.92,10,16,28,18,32,1,0.8452941176470588,0,0,3.0588235294117645,81.82058823529412,37.0,133.0,46.86764705882353,50.00588235294118,54.220588235294116,48.550000000000004,43.23823529411764,36.68529411764706,1,0.08181818181818182,0.16363636363636364,0.32727272727272727,0.017181818181818184,0.07527272727272727,1.79,0.4909090909090909,0.09245454545454546,0.4909090909090909
