player_id,player_name,position,nationality,group_rating,knockout_rating,clutch_delta
P00679,Raul Lainez,Goalkeeper,Mexican,1.3,5.25,3.95
P00056,Pedro Torres,Defender,Spanish,3.1724137931034484,6.475,3.3025862068965512
P00879,Mehdi Hazbavi,Forward,Iranian,3.772727272727273,6.9799999999999995,3.2072727272727266
P00242,Ricardo Mbabu,Defender,Swiss,3.4850000000000003,6.659999999999999,3.174999999999999
P00503,Angel Gonzalez,Defender,Argentine,2.405555555555556,5.5375,3.1319444444444438
P00497,Emiliano Di Maria,Goalkeeper,Argentine,1.3333333333333333,4.425,3.091666666666667
P01216,Amr Marmoush,Midfielder,Egyptian,1.7391304347826086,4.60625,2.8671195652173918
P00381,Robin Wahlqvist,Midfielder,Swedish,2.7736842105263158,5.622222222222223,2.848538011695907
P00400,Yusuf Kilicsoy,Defender,Turkish,1.9739130434782608,4.822222222222222,2.8483091787439614
P00476,Casemiro Alexandre,Defender,Brazilian,3.6454545454545455,6.4750000000000005,2.829545454545455
