player_id,player_name,nationality,position,team,age,market_value_eur,club_name,matches,minutes,goals,assists,xg,xa,shots,key_passes,tackles,interceptions,recoveries,dribbles_succ,pass_acc,saves,clean_sheets,rating,stamina,top_speed,distance,creativity,consistency,clutch,pressure,offensive,defensive,poty_awards,per90,goals_p90,assists_p90,xg_p90,xa_p90,finishing_delta,ga_p90,ga_expected_p90,ga_actual_p90,composite
P00575,Federico Bentancur,Uruguayan,Goalkeeper,Uruguay,21,33206789,Independiente,45,1719,0,0,0.0,0.0,0,3,0,12,39,0,0.7126666666666667,76,6,3.2311111111111113,83.0,32.5,165.1,27.69777777777778,91.92666666666666,58.144444444444446,84.50888888888889,10.591111111111111,97.11777777777777,0,0.05235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.22954796632753
P00220,Ante Budimir,Croatian,Defender,Croatia,27,27467875,Copenhagen,49,2346,0,1,0.11,0.98,15,27,84,87,208,0,0.8097959183673469,0,0,5.130612244897959,86.09795918367347,36.7,251.5,30.577551020408162,97.89795918367346,57.65714285714285,95.15510204081633,58.54489795918367,98.56122448979592,0,0.03836317135549872,0.0,0.03836317135549872,0.00421994884910486,0.037595907928388746,-0.11,0.03836317135549872,0.0418158567774936,0.03836317135549872,73.65439806595508
P00758,Leon Lowe,Jamaican,Defender,Jamaica,21,43256708,Tauro FC,59,2687,1,3,0.17,1.16,17,15,99,81,178,1,0.8140677966101695,0,0,4.874576271186441,84.60338983050848,36.0,285.6,31.13728813559322,89.64745762711864,56.98813559322034,83.13050847457627,44.44406779661016,91.49491525423728,2,0.033494603647190174,0.033494603647190174,0.10048381094157052,0.00569408262002233,0.0388537402307406,0.83,0.1339784145887607,0.044547822850762926,0.1339784145887607,72.55535952834485
P00893,Abdulrahman Al-Hamdan,Saudi,Defender,Saudi Arabia,24,3454981,Al-Nassr,52,2973,5,0,0.43,0.34,14,18,103,99,120,2,0.8269230769230769,0,0,4.703846153846154,84.89807692307691,36.9,323.2,29.825000000000003,46.67307692307692,52.01923076923077,47.103846153846156,23.951923076923077,52.448076923076925,3,0.030272452068617558,0.15136226034308778,0.0,0.013017154389505549,0.01029263370332997,4.57,0.15136226034308778,0.02330978809283552,0.15136226034308778,69.87760047178983
P00194,Pepe Carvalho,Portuguese,Defender,Portugal,30,58151286,Ajax,43,2141,0,2,0.01,0.59,5,31,67,65,177,0,0.8213953488372093,0,0,5.706976744186047,84.86511627906977,35.6,227.3,29.223255813953486,97.84651162790696,63.58837209302326,89.66046511627907,55.43023255813954,98.13255813953488,3,0.04203643157403083,0.0,0.08407286314806166,0.0004203643157403083,0.024801494628678186,-0.01,0.08407286314806166,0.025221858944418495,0.08407286314806166,68.1680988585753
P00561,Gary Villanueva,Chilean,Midfielder,Chile,26,80331857,Universidad de Chile,37,1425,3,9,0.76,3.1900000000000004,27,49,28,29,82,17,0.8532432432432433,0,0,4.832432432432433,85.62972972972973,35.3,168.6,91.7081081081081,96.4972972972973,63.0027027027027,95.46756756756757,90.84054054054054,79.59189189189189,2,0.06315789473684211,0.18947368421052632,0.5684210526315789,0.048,0.20147368421052636,2.24,0.7578947368421053,0.24947368421052635,0.7578947368421053,80.62344119185613
P00040,Jamal Koch,German,Midfielder,Germany,24,48977955,Real Madrid,34,1466,5,5,0.35000000000000003,2.58,19,54,46,19,84,13,0.8641176470588235,0,0,5.108823529411764,84.72941176470589,36.0,175.5,84.79411764705883,89.56176470588235,59.88235294117647,85.74117647058823,77.18823529411765,67.60588235294118,1,0.061391541609822645,0.3069577080491132,0.3069577080491132,0.021487039563437928,0.15839017735334243,4.65,0.6139154160982264,0.17987721691678035,0.6139154160982264,79.13974327279017
P01239,Ronwen Mkhize,South African,Midfielder,South Africa,26,56794189,ES Tunis,35,1664,5,7,0.28,2.95,20,41,43,30,93,9,0.8608571428571429,0,0,4.977142857142857,82.54571428571428,36.0,195.9,84.39428571428572,89.92571428571429,62.645714285714284,83.72,80.05714285714286,63.31428571428572,2,0.054086538461538464,0.2704326923076923,0.3786057692307693,0.015144230769230771,0.15955528846153846,4.72,0.6490384615384616,0.17469951923076923,0.6490384615384616,77.70449006066039
P00153,Memphis Zerrouki,Dutch,Forward,Netherlands,25,154445945,Fenerbahce,54,2235,24,9,3.22,1.6,82,65,17,7,55,53,0.789074074074074,0,0,4.607407407407408,85.57037037037037,36.2,248.0,91.61111111111111,97.2537037037037,60.931481481481484,92.72222222222223,96.77592592592592,23.701851851851853,2,0.040268456375838924,0.9664429530201342,0.3624161073825503,0.12966442953020135,0.06442953020134227,20.78,1.3288590604026844,0.19409395973154364,1.3288590604026844,81.92306757835217
P01009,Mohannad Majeed,Iraqi,Forward,Iraq,18,71687038,Al-Ahli,41,1396,15,10,2.13,1.6600000000000001,53,37,9,5,59,39,0.7631707317073171,0,0,4.270731707317073,86.98780487804878,34.9,156.4,91.30000000000001,97.58536585365853,59.14146341463415,94.68048780487806,98.21951219512195,24.839024390243903,3,0.06446991404011461,0.9670487106017192,0.6446991404011461,0.13732091690544412,0.10702005730659025,12.870000000000001,1.6117478510028653,0.24434097421203438,1.6117478510028653,78.89393228264699
